情報伝送及び処理,自前でサーバを持たず ネット経由で機能を利用する形態は？,クラウド,必要な時に必要な分だけ使えます。,ローカルホスト,イントラネット,スタンドアロン
情報伝送及び処理,磁気を使わず 半導体メモリにデータを記録するストレージは？,SSD,HDD より高速で衝撃に強いです。,HDD,磁気テープ,MOディスク
情報伝送及び処理,最も普及している有線 LAN の規格名は？,イーサネット,物理的な接続やデータ形式を定めます。,Wi-Fi,Bluetooth,USB
情報伝送及び処理,光ファイバ通信において、光の屈折率の違いを利用して光を閉じ込める構造の名称は？,コアとクラッド,中心部のコアをクラッドが包み、全反射させて伝送します。,レンズとミラー,アンテナとケーブル,プラスとマイナス
情報伝送及び処理,光ファイバ通信で 情報が伝わる媒体は？,光,石英ガラスの中を通ります。,電気,超音波,電波
情報伝送及び処理,光ファイバの材料として一般的に使われる物質は？,石英ガラス（またはプラスチック）,非常に透明度が高く、光の減衰が少ないのが特徴です。,銅,鉄,シリコンゴム
情報伝送及び処理,一度書き込むと消去できないが、高速に読み出せる記憶媒体は？,ROM,プログラムの恒久的な保存に向いています。,キャッシュ,レジスタ,バッファ
情報伝送及び処理,異なるネットワークを接続し 経路選択（ルーティング）を行う機器は？,ルータ,IP アドレスを見て転送先を決めます。,リピータ,スイッチングハブ,ターミネータ
情報伝送及び処理,ハードウェアとアプリの間で動作する 基本ソフトの略称は？,OS,Windows や Linux などです。,CPU,BIOS,GUI
情報伝送及び処理,デジタル回路において、2つの入力が共に「1」のときだけ「1」を出力するゲートは？,AND ゲート,論理積回路と呼ばれます。,OR ゲート,NOT ゲート,XOR ゲート
情報伝送及び処理,デジタル化において「ビット数（解像度）」を増やすことの主なメリットは？,音や画像の再現性が良くなり、誤差が減る,より細かい段階で表現できるため、元の波形に近くなります。,データ量が減る,処理速度が上がる,通信距離が延びる
情報伝送及び処理,データ伝送のエラーを検出するために付け加える余分なビットは？,パリティビット,1 の個数が偶数か奇数かをチェックします。,スタートビット,ストップビット,ダミービット
情報伝送及び処理,データ通信における「全二重（フルデュプレックス）」とはどのような通信か？,送信と受信を同時に行うことができる通信,電話のように双方向で同時にやり取りが可能です。,送信か受信のどちらか一方しかできない通信,一方通行の通信,1対多の通信
情報伝送及び処理,データを小分けにして送る 現代のネットの通信方式は？,パケット交換方式,回線を効率よく共有できます。,回線交換方式,専用線方式,時分割多重方式
情報伝送及び処理,データの転送速度を示す単位「bps」は何の略か？,bits per second,1秒間に何ビットのデータを送れるかを示します。,bytes per second,beats per second,binary per second
情報伝送及び処理,データの最小単位を 1 ビット、次に大きい単位を 1 バイトとしたとき、その次によく使われる「1024倍」の単位は？,キロバイト (KB),正確には 2の10乗(1024) ですが、1000に近い値として扱われます。,メガバイト,ギガバイト,テラバイト
情報伝送及び処理,データの誤り検出手法の一つで、データの末尾に「1」の数が偶数か奇数かを示す1ビットを付ける方法は？,パリティチェック,最も単純なエラーチェック手法の一つです。,チェックサム,CRC（巡回冗長検査）,ハッシュ値
情報伝送及び処理,サンプリングされた値（電圧など）を、最も近い不連続な段階値に置き換える操作は？,量子化,振幅の大きさを数値化するプロセスです。,標本化,符号化,変調
情報伝送及び処理,コンピュータ内部で、負の数を表現するために一般的に使われる手法は？,2 の補数,足し算と同じ回路で引き算ができるため効率的です。,符号ビットのみ,10 の補数,逆数
情報伝送及び処理,コンピュータの演算を司る「頭脳」にあたる部品は？,CPU,命令を実行し計算を行います。,RAM,SSD,GPU
情報伝送及び処理,コンピュータが扱う情報の最小単位を何というか？,ビット (bit),0 または 1 のいずれかの状態を表します。,バイト,ワード,パケット
情報伝送及び処理,インターネット上の「名前（ドメイン名）」と「IPアドレス」を対応させるシステムは？,DNS (Domain Name System),google.com などの名前を数値のアドレスに変換します。,DHCP,NAT,URL
情報伝送及び処理,インターネットで使われる標準的なプロトコル群の総称は？,TCP/IP,現在のインターネット通信の基盤となっている約束事です。,OSI,HTTP,FTP
情報伝送及び処理,インターネットで データの届け先（経路）を決めるプロトコルは？,IP,ネットワーク層のプロトコルです。,HTTP,FTP,SMTP
情報伝送及び処理,アナログ信号をデジタル信号に変換する際、時間的に細かく区切る最初の操作は？,サンプリング（標本化）,連続的な時間軸を、一定の間隔で区切ります。,量子化,符号化,暗号化
情報伝送及び処理,アナログ信号をデジタル化する際 最初に時間を区切る操作は？,サンプリング,その後、量子化が行われます。,量子化,符号化,スクランブル
情報伝送及び処理,URLの先頭にある「https」の「s」は何を表しているか？,SSL/TLSによる暗号化（Secure）,通信内容が暗号化され、安全であることを示します。,速度（Speed）,検索（Search）,同期（Sync）
情報伝送及び処理,OSI参照モデルの最下層（第1層）で、物理的な接続や電気信号を規定する層は？,物理層,コネクタの形状や電圧、ビットの送り方を決めます。,アプリケーション層,セッション層,輸送層
情報伝送及び処理,OSI参照モデルにおいて、データの転送順序やエラーの回復を保証し、エンドツーエンドの通信を担当する層は？,輸送層（トランスポート層）,TCPプロトコルなどがこの層に属します。,物理層,データリンク層,プレゼンテーション層
情報伝送及び処理,LANを構成する装置で、受け取ったデータの宛先を見て特定のポートにだけ転送する装置は？,スイッチングハブ（レイヤ2スイッチ）,無駄なトラフィックを減らし、効率的に通信を行います。,リピータハブ,ルータ,ゲートウェイ
情報伝送及び処理,LANケーブル（ツイストペアケーブル）のコネクタ形状として標準的なものは？,RJ-45,8本の線が入る、カチッと差し込むタイプのプラグです。,USB Type-C,HDMI,BNC
情報伝送及び処理,IPv4 アドレスの長さは何ビットか？,32 ビット,約 43 億個の識別が可能です。,64 ビット,128 ビット,256 ビット
情報伝送及び処理,CPUが直接読み書きできる、作業用の高速なメモリは？,RAM（メインメモリ）,揮発性であり、電源を切るとデータは消えます。,ハードディスク,SDカード,DVD
情報伝送及び処理,AD変換における「サンプリング周期」と「サンプリング周波数」の関係は？,逆数の関係,周波数 = 1 / 周期 となります。,比例の関係,2乗の関係,無関係
情報伝送及び処理,1 バイトは何ビットか？,8 ビット,英数字 1 文字分などの単位です。,4 ビット,16 ビット,32 ビット
情報伝送及び処理,1 バイト (byte) は、一般的に何ビットで構成されるか？,8 ビット,英数字1文字分などを表現できる標準的な単位です。,4 ビット,16 ビット,32 ビット
情報伝送及び処理,「ルータ」の主な役割は？,異なるネットワークを相互に接続し、最適な経路を選択する,ネットワーク層（レイヤ3）で動作する装置です。,信号を増幅する,電源を供給する,文字を入力する
情報伝送及び処理,「サンプリング周波数は信号の最大周波数の 2 倍以上必要」という定理は？,サンプリング定理,ナイキストの定理とも呼ばれます。,オームの法則,キルヒホッフの法則,ボイル・シャルルの法則
情報伝送及び処理,「サンプリングの定理」によれば、信号を復元するには信号の最高周波数の何倍より大きい速さでサンプリングすべきか？,2 倍,これ以下の速さだと、エイリアシング（折り返し誤差）が生じます。,1 倍,10 倍,100 倍
情報伝送及び処理,「クラウドコンピューティング」の大きなメリットは？,自前でサーバを持たず、必要な時に必要な分だけリソースを利用できる,インターネット経由でサービスや機能を利用する形態です。,オフラインでも使える,セキュリティが完全に不要になる,電気代がタダになる
情報伝送及び処理,「OSI参照モデル」は何層で構成されているか？,7 層,通信機能を役割ごとに階層化して定義したモデルです。,3 層,5 層,10 層
